108.145.internal.radian.com,809813025000,809814825000
128.104.66.114,809800002000,809801802000
128.120.125.246,809805371000,809807173000
128.120.153.224,809821798000,809826051000
128.120.5.70,809805165000,809806966000
128.120.68.34,809821360000,809823261000
128.138.177.19,809833990000,809836317000
128.138.177.44,809815466000,809818639000
128.138.177.6,809826991000,809829054000
128.144.102.56,809795255000,809798900000
128.148.245.158,809814338000,809816140000
128.150.157.33,809801492000,809804427000
128.150.157.33,809810734000,809812539000
128.158.53.34,809812332000,809814594000
128.159.128.27,809791338000,809793979000
128.159.144.142,809785747000,809787606000
128.159.146.92,809810722000,809812755000
128.163.10.219,809812878000,809814680000
128.163.17.212,809806289000,809808794000
128.163.40.45,809815171000,809817625000
128.165.180.61,809805285000,809807508000
128.165.180.61,809810908000,809813394000
128.180.28.3,809810529000,809812389000
128.192.24.215,809813533000,809815333000
128.196.182.10,809814168000,809816076000
128.206.30.37,809833856000,809835657000
128.220.72.225,809809702000,809811506000
128.227.109.32,809797664000,809800588000
128.227.144.18,809798133000,809800264000
128.227.152.54,809787105000,809789212000
128.23.160.101,809787661000,809789471000
128.252.99.104,809804941000,809807387000
128.252.99.104,809828245000,809830086000
128.253.25.114,809812099000,809814513000
128.255.51.142,809808585000,809810396000
128.97.218.144,809812371000,809814864000
128.97.218.144,809816663000,809818834000
128.97.218.144,809823341000,809826250000
129.108.62.218,809832483000,809834302000
129.130.232.64,809818179000,809821204000
129.132.182.34,809777961000,809780114000
129.135.216.13,809796626000,809798428000
129.15.32.106,809795667000,809797837000
129.162.13.175,809807234000,809809412000
129.162.205.5,809805718000,809807600000
129.187.250.1,809790182000,809791982000
129.190.221.148,809802043000,809803868000
129.190.44.137,809784219000,809787058000
129.193.171.77,809796878000,809798687000
129.193.186.72,809810434000,809812265000
129.219.187.109,809807376000,809810000000
129.228.127.11,809804165000,809806071000
129.237.223.3,809819252000,809821166000
129.237.24.71,809800808000,809810354000
129.238.120.26,809807255000,809809059000
129.243.129.234,809811764000,809813643000
129.252.188.166,809805445000,809808083000
129.252.21.184,809813775000,809817718000
129.53.76.146,809792229000,809794029000
129.57.33.48,809805151000,809807016000
129.81.186.112,809806202000,809808053000
129.93.222.79,809803501000,809805305000
129.93.226.66,809795505000,809797389000
129.93.226.71,809804253000,809806061000
129.93.229.104,809829743000,809831547000
129.93.236.89,809795157000,809796959000
129.96.209.96,809839228000,809841100000
130.101.13.102,809786539000,809788339000
130.127.84.37,809800514000,809802336000
130.158.72.126,809774347000,809776803000
130.19.10.65,809820870000,809823799000
130.19.10.65,809825067000,809832262000
130.206.105.165,809793161000,809795676000
130.206.105.165,809796715000,809798515000
130.207.94.51,809811445000,809813437000
130.241.163.40,809808793000,809810771000
130.38.73.80,809801924000,809803906000
130.54.47.156,809836161000,809837985000
130.95.42.191,809772525000,809774330000
130.99.163.23,809823356000,809825210000
131.110.56.66,809787563000,809789851000
131.120.147.33,809808737000,809810537000
131.126.30.164,809800350000,809802182000
131.126.30.164,809803283000,809805346000
131.126.30.164,809808303000,809810103000
131.126.30.164,809813605000,809815508000
131.144.40.72,809799094000,809800895000
131.167.25.3,809787068000,809792018000
131.167.25.6,809795915000,809797910000
131.167.48.39,809788157000,809791121000
131.167.99.59,809806161000,809808081000
131.167.99.88,809808471000,809811134000
131.170.154.29,809755171000,809757033000
131.178.81.68,809812986000,809816257000
131.178.9.51,809799809000,809801721000
131.181.38.71,809765772000,809768094000
131.182.154.201,809794604000,809796408000
131.182.170.143,809807099000,809808920000
131.203.13.244,809759880000,809761680000
131.215.67.47,809755099000,809756905000
131.230.197.21,809801480000,809803284000
131.234.216.133,809759122000,809760922000
131.247.150.153,809815035000,809816845000
131.250.8.83,809800311000,809802123000
131.44.53.25,809791425000,809793225000
131.52.16.102,809792900000,809800283000
131.52.16.102,809801289000,809803193000
131.52.16.102,809805759000,809807559000
131.90.176.27,809809690000,809811711000
131.92.128.99,809783225000,809786312000
131.92.128.99,809787439000,809791282000
131.92.168.177,809811092000,809813189000
131.92.168.211,809794723000,809798277000
131.95.119.99,809833842000,809836085000
132.170.199.112,809821956000,809823760000
132.170.199.114,809821876000,809823785000
132.170.199.124,809787192000,809789140000
132.175.136.162,809810588000,809812408000
132.236.38.122,809816353000,809818188000
132.248.53.29,809806670000,809809577000
132.74.12.10,809767348000,809769426000
133.62.128.131,809830693000,809832886000
134.116.4.42,809809991000,809811791000
134.126.28.83,809804163000,809805966000
134.136.91.60,809800492000,809802634000
134.156.8.36,809800090000,809802125000
134.164.40.57,809790284000,809792087000
134.186.133.70,809813333000,809815662000
134.186.191.100,809795802000,809797607000
134.186.191.52,809827581000,809829443000
134.186.194.4,809795028000,809796856000
134.186.194.4,809807734000,809811268000
134.186.194.4,809825189000,809827074000
134.186.196.20,809794910000,809796737000
134.186.196.23,809817313000,809819895000
134.20.176.82,809810860000,809814421000
134.20.62.234,809803426000,809806855000
134.243.205.146,809788271000,809790086000
134.243.205.184,809785118000,809786948000
134.243.205.184,809788818000,809790647000
134.243.205.239,809811081000,809813110000
134.243.230.108,809815048000,809816958000
134.53.24.216,809799975000,809801803000
134.53.98.16,809806969000,809809096000
134.67.162.118,809793315000,809795440000
134.67.162.118,809817964000,809819795000
134.67.162.121,809811906000,809813709000
134.67.162.121,809813853000,809815654000
134.67.162.123,809785091000,809787724000
134.67.162.123,809804060000,809805867000
134.67.162.127,809783102000,809785700000
134.67.162.127,809809181000,809810985000
134.67.162.127,809811583000,809813383000
